original_smiles,canonical_smiles,MW,LogP,HBD,HBA,violations,is_drug_like
B,B,13.84,-1.18,0,0,0,True
C=CCc1c(O)cccc1OC,C=CCc1c(O)cccc1OC,164.2,2.13,1,2,0,True
C=CCc1cc(O)ccc1OC,C=CCc1cc(O)ccc1OC,164.2,2.13,1,2,0,True
C=CCc1ccc(O)cc1OC,C=CCc1ccc(O)cc1OC,164.2,2.13,1,2,0,True
C=CCc1cccc(OC)c1O,C=CCc1cccc(OC)c1O,164.2,2.13,1,2,0,True
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,275.09,-1.09,4,3,0,True
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,331.34,0.88,1,6,0,True
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,351.44,1.24,3,6,0,True
CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,307.35,0.58,2,6,0,True
CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,250.29,1.74,1,4,0,True
CC(C)CCCC(C)C1CCC2C(=O)CC3C4CCC(O)CC4(O)C(C)CC3C21C,CC(C)CCCC(C)C1CCC2C(=O)CC3C4CCC(O)CC4(O)C(C)CC3C21C,418.66,5.62,2,3,1,True
CC1(C)C=Cc2c(cc(O)c3c2OC(O)C(=O)C3c2ccccc2)O1,CC1(C)C=Cc2c(cc(O)c3c2OC(O)C(=O)C3c2ccccc2)O1,338.36,2.99,2,5,0,True
CCC(C)C(=O)OC12CCC=CC1C=CC(C)C2CCC1CC(=O)CC(O)O1,CCC(C)C(=O)OC12CCC=CC1C=CC(C)C2CCC1CC(=O)CC(O)O1,390.52,3.95,1,5,0,True
CCC(C)C(=O)OC1CCC=C2C=C(CCC3CC(O)CC(=O)O3)C(C)CC21,CCC(C)C(=O)OC1CCC=C2C=C(CCC3CC(O)CC(=O)O3)C(C)CC21,390.52,4.09,1,5,0,True
CCC1C=CC=CCC(C)C(O)CC(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OCCCCC1,CCC1C=CC=CCC(C)C(O)CC(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OCCCCC1,548.76,4.98,3,7,1,True
CN(CCC(N)CC(=O)NC1C=CC(N2C(C(=O)O)=CC=NC2N)OC1C(=O)O)C(=N)N,CN(CCC(N)CC(=O)NC1C=CC(N2C(C(=O)O)=CC=NC2N)OC1C(=O)O)C(=N)N,452.47,-2.63,7,9,1,True
