original_smiles,canonical_smiles,tanimoto_score,closest_training_molecule
B,B,0.0345,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1,Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1,1.0,Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1
C#CCOCC1COC(Cn2ccnc2)(c2c(Cl)cccc2Cl)O1,C#CCOCC1COC(Cn2ccnc2)(c2c(Cl)cccc2Cl)O1,0.7667,C#CCOC[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
C#CCOCC1COC(Cn2ccnc2)(c2cc(Cl)cc(Cl)c2)O1,C#CCOCC1COC(Cn2ccnc2)(c2cc(Cl)cc(Cl)c2)O1,0.7667,C#CCOC[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
C#CCOCC1COC(Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,C#CCOCC1COC(Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,1.0,C#CCOC[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
C#CCOCC1COC(Cn2ccnc2)(c2cccc(Cl)c2Cl)O1,C#CCOCC1COC(Cn2ccnc2)(c2cccc(Cl)c2Cl)O1,0.7869,C#CCOC[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,1.0,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1
C=CCCCCCCCCC(=O)O,C=CCCCCCCCCC(=O)O,1.0,C=CCCCCCCCCC(=O)O
C=CCSSC=CCS(=O)CC=C,C=CCSSC=CCS(=O)CC=C,1.0,C=CCSS/C=C/CS(=O)CC=C
C=CCSSSCC=C,C=CCSSSCC=C,1.0,C=CCSSSCC=C
C=CCc1c(O)cccc1OC,C=CCc1c(O)cccc1OC,0.5135,C=CCc1ccc(O)c(OC)c1
C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1,C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1,1.0,C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1
C=CCc1cc(O)ccc1OC,C=CCc1cc(O)ccc1OC,0.5135,C=CCc1ccc(O)c(OC)c1
C=CCc1ccc(O)c(OC)c1,C=CCc1ccc(O)c(OC)c1,1.0,C=CCc1ccc(O)c(OC)c1
C=CCc1ccc(O)cc1OC,C=CCc1ccc(O)cc1OC,0.5135,C=CCc1ccc(O)c(OC)c1
C=CCc1cccc(OC)c1O,C=CCc1cccc(OC)c1O,0.4737,C=CCc1ccc(O)c(OC)c1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)c(Cl)c4)O3)cc2)CC1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)c(Cl)c4)O3)cc2)CC1,0.7763,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1.0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4cccc(Cl)c4Cl)O3)cc2)CC1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4cccc(Cl)c4Cl)O3)cc2)CC1,0.8,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CC(=O)NC1C(O)OC(OC2C(CO)OC(O)C(OC3CCC4(O)OC(N(C)C)=NC34CO)C2NC(C)=O)C(O)C1CO,CC(=O)NC1C(O)OC(OC2C(CO)OC(O)C(OC3CCC4(O)OC(N(C)C)=NC34CO)C2NC(C)=O)C(O)C1CO,0.4045,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]3[C@H](O)[C@H]4N=C(N(C)C)O[C@H]4[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O
CC(=O)NC1C(OC2C(CO)OC(OC3C(O)C4N=C(N(C)C)OC4C3CO)C(NC(C)=O)C2O)OC(CO)C(O)C1O,CC(=O)NC1C(OC2C(CO)OC(OC3C(O)C4N=C(N(C)C)OC4C3CO)C(NC(C)=O)C2O)OC(CO)C(O)C1O,1.0,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]3[C@H](O)[C@H]4N=C(N(C)C)O[C@H]4[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,0.5263,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(=O)OCC(COC(C)=O)OC(C)=O,1.0,CC(=O)OCC(COC(C)=O)OC(C)=O
CC(C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,1.0,C[C@H](C(=O)N(C)C[C@@](O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1
CC(C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)C(O)c1ccc(O)cn1,CC(C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)C(O)c1ccc(O)cn1,1.0,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,0.6792,C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,1.0,C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O
CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl,CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl,1.0,CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,1.0,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
CC(C)(C)C(=O)C(Oc1cccc(Cl)c1)n1ccnc1,CC(C)(C)C(=O)C(Oc1cccc(Cl)c1)n1ccnc1,0.7609,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
CC(C)(O)C(Cl)(Cl)Cl,CC(C)(O)C(Cl)(Cl)Cl,1.0,CC(C)(O)C(Cl)(Cl)Cl
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,0.2712,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,0.7879,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,1.0,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,0.2586,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,0.3469,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
